team,team_id,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos,posicao
Flamengo,612,38,23,10,5,78,27,51,79,1
Palmeiras,619,38,23,7,8,66,33,33,76,2
Cruzeiro,613,38,19,13,6,55,31,24,70,3
Mirassol,2721,38,18,13,7,63,39,24,67,4
Fluminense,617,38,19,7,12,50,39,11,64,5
Botafogo,615,38,17,12,9,58,38,20,63,6
Bahia,626,38,17,9,12,50,46,4,60,7
São Paulo,618,38,14,9,15,43,47,-4,51,8
Grêmio,616,38,13,10,15,47,50,-3,49,9
Atlético Mineiro,620,38,12,12,14,43,44,-1,48,10
Bragantino,635,38,14,6,18,45,57,-12,48,11
Corinthians,624,38,12,11,15,42,47,-5,47,12
Santos,611,38,12,11,15,45,50,-5,47,13
Vasco da Gama,625,38,13,6,19,55,60,-5,45,14
Vitória,610,38,11,12,15,35,52,-17,45,15
Internacional,630,38,11,11,16,44,57,-13,44,16
Ceará,642,38,11,10,17,34,40,-6,43,17
Fortaleza,2601,38,11,10,17,43,58,-15,43,18
Juventude,1053,38,9,8,21,35,69,-34,35,19
Sport Recife,614,38,2,11,25,28,75,-47,17,20
