home,away,goals_home,goals_away,result,game_week,model_h,model_d,model_a,bs_model,ll_model,elo_h,elo_d,elo_a,bs_elo,ll_elo,odds_h,odds_d,odds_a,bs_odds,ll_odds,blend_h,blend_d,blend_a,bs_blend,ll_blend,div_home,div_draw,div_away,div_max
Internacional,Bahia,2,1,H,1,0.5700216123973945,0.27262190681874465,0.15735648078386094,0.28396517992750636,0.562081002385696,0.6275916629771612,0.19786050811844855,0.17454782890439027,0.20830369473224325,0.46586554218669757,0.5273885350318472,0.26751592356687903,0.20509554140127392,0.3369905472838654,0.6398177439570939,0.5418837813361332,0.2692519578725133,0.1888642607913535,0.31803679562532583,0.6127037261140321,0.04263307736554722,0.00510598325186562,0.04773906061741298,0.04773906061741298
Criciúma,Juventude,1,1,D,1,0.41507549230439666,0.2883705588848737,0.2965539488107298,0.7666483703288012,1.243508963092725,0.40622134590286985,0.261962470737218,0.33181618335991214,0.8198171560069897,1.339554026942078,0.4369627507163324,0.30085959885386826,0.26217765042979946,0.7484708664132478,1.2011115720449035,0.4295210828562742,0.2966133252644101,0.27386559187931575,0.7542435372290248,1.2153259235699814,0.02188725841193573,0.012489039968994586,0.034376298380930315,0.034376298380930315
Fluminense,Bragantino,2,2,D,1,0.4610310472762475,0.2967858406415939,0.24218311208215865,0.7657124402525827,1.2147444755600882,0.52932153485486,0.22767847654264678,0.24299998860249325,0.9357108173174037,1.479820835884666,0.48657187993680884,0.287519747235387,0.22590837282780407,0.7954148978384733,1.246463735067381,0.477887996832218,0.2906702189934974,0.23144178417428463,0.7850909752008193,1.2355659225080429,0.02554083266056134,0.009266093406206932,0.016274739254354575,0.02554083266056134
São Paulo,Fortaleza,1,2,A,1,0.5034542049725764,0.30505879363917227,0.19148700138825123,1.0002202730053176,1.652935350533383,0.427190577322224,0.2561802995089884,0.31662912316878766,0.71511589051047,1.1500241484986193,0.4811372334609076,0.2843083652268999,0.23455440131219243,0.8982312485109443,1.4500677294628488,0.48872500377487504,0.2913635108870725,0.21991148533805244,0.9322829154986765,1.5145301529624662,0.022316971511668837,0.02075042841227237,0.04306739992394121,0.04306739992394121
Vasco da Gama,Grêmio,2,1,H,1,0.406034864942676,0.30814930694840353,0.2858158281089206,0.5294412646340347,0.9013162488243418,0.46827669963006907,0.2448456092463148,0.2868776911236161,0.4249778501879077,0.7586959192513377,0.43040554310169143,0.2804157326268596,0.2891787242714489,0.48669516300520016,0.8430273912637514,0.42211951252762614,0.28984514789618454,0.28803533957618926,0.5009204244050401,0.8624667999993351,0.024370678159015446,0.02773357432154394,0.0033628961625283282,0.02773357432154394
Corinthians,Atlético Mineiro,0,0,D,1,0.49263001845457494,0.2904338819274069,0.21693609961801819,0.7932296823166428,1.236379329533554,0.5661627594624642,0.2169194739974411,0.21691776654009468,0.9808086978473394,1.5282290818811037,0.3556034482758621,0.3081896551724138,0.3362068965517242,0.7180904429250893,1.1770399219663479,0.40219248213662445,0.30215269226911146,0.29565482559426415,0.7361614334916432,1.196822785841566,0.13702657017871284,0.017755773245006934,0.11927079693370601,0.13702657017871284
Atlético PR,Cuiabá,4,0,H,1,0.6310581925468102,0.24419806536597682,0.12474374208721307,0.2113117536052336,0.4603571979565544,0.5477311229204657,0.22235157921058304,0.22991729786895135,0.3068493258115832,0.6019707640479974,0.6013229104028863,0.2453397474443776,0.15333734215273598,0.2426473539441612,0.5086232002107907,0.6114329063318205,0.24495157553772134,0.1436155181304582,0.2316110776880278,0.4919500496917069,0.029735282143923847,0.001141682078400763,0.028593600065522903,0.029735282143923847
Atlético GO,Flamengo,1,2,A,1,0.28087224623659524,0.30599684607968014,0.4131309076837246,0.516938620032831,0.8839907684875687,0.2608204462690712,0.2347558184197881,0.5044237353111407,0.3687334335969043,0.6843386194736335,0.22058823529411764,0.2647058823529412,0.5147058823529412,0.3542387543252594,0.6641596436866929,0.24108479901456004,0.27874481002003243,0.4801703909654076,0.40604337185805195,0.7336142568931797,0.060284010942477595,0.04129096372673896,0.10157497466921661,0.10157497466921661
Cruzeiro,Botafogo,3,2,H,1,0.30472971693154954,0.3108560105610282,0.3844142725074222,0.7278065587274121,1.188330069253946,0.30854700261259416,0.2531082580068622,0.43834473938054364,0.7343171484098929,1.1758810886923416,0.4299408525392617,0.298184784825617,0.2718743626351214,0.4877972665634169,0.8441076319899803,0.3873690664326395,0.3024930015756568,0.3101379319917037,0.5630042136259565,0.948377380364523,0.12521113560771213,0.012671225735411185,0.11253990987230084,0.12521113560771213
Vitória,Palmeiras,0,1,A,1,0.24638331943688221,0.3004669922055734,0.45314968835754443,0.4500304168452516,0.7915327702063,0.313585264556748,0.2550233296587419,0.43139140578451013,0.48668835023307266,0.840739466911867,0.18510945393312486,0.24356507096463795,0.5713254751022372,0.2773513020257515,0.5597962227838958,0.20594256820440235,0.26291172418655595,0.5311457076090417,0.3313592636067988,0.6327188931047026,0.06127386550375735,0.05690192124093543,0.11817578674469276,0.11817578674469276
Bahia,Fluminense,2,1,H,2,0.4784625531144797,0.2972250283166612,0.22431241856885908,0.410660087085918,0.7371773300554245,0.44254084195347654,0.25195226821131256,0.3055068898352109,0.4675751180835477,0.8152225205934226,0.44510940714419295,0.2814662427529456,0.27342435010286137,0.46188769107850114,0.8094351682832113,0.4564494767740905,0.2868242298446089,0.25672629338130065,0.4436236998384146,0.7842772602657332,0.03335314597028677,0.015758785563715627,0.049111931534002284,0.049111931534002284
Grêmio,Atlético PR,2,0,H,2,0.38826081868988704,0.30246317163557335,0.30927600967453955,0.5613604463060234,0.9460779520746362,0.5580463879290365,0.2193248128250101,0.22262879924595352,0.2929899509969925,0.5833131875668273,0.3642384105960265,0.29139072847682124,0.34437086092715236,0.6076926450594271,1.0099466515824533,0.3724060293479391,0.29515535915079694,0.33243861150126397,0.5915063084511442,0.9877705431948789,0.024022408093860526,0.01107244315875211,0.0350948512526128,0.0350948512526128
Bragantino,Vasco da Gama,2,1,H,2,0.5406868445051659,0.27256438032691943,0.18674877516791474,0.3201350212603356,0.6149150133781182,0.4960398349710346,0.2371123518466621,0.2668478131823033,0.38140587073445464,0.701099043040479,0.49988098071887643,0.2727921923351583,0.22732682694596523,0.37621209989505566,0.6933852474578678,0.5137549744062149,0.2727147362523571,0.21353028934142804,0.35640273675012746,0.6660088306760575,0.040805863786289476,0.00022781200823884795,0.04057805177805049,0.040805863786289476
Atlético Mineiro,Criciúma,1,1,D,2,0.5980777663936349,0.2507976422309731,0.15112459137539197,0.9418398296594475,1.383108871260491,0.6390525406304105,0.19409946587474955,0.16684799349483995,1.0857020735228005,1.6393845406154433,0.6292134831460674,0.23595505617977527,0.1348314606741573,0.9978538063375837,1.4441139320087168,0.6186273394502404,0.24100153543718256,0.14037112511257713,0.978482507089368,1.4229519744031363,0.03113571675243254,0.014842586051197842,0.01629313070123467,0.03113571675243254
